
2015/01/13 23:51:56 [emerg] 11039#0: open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/fastcgi_params" failed (2: No such file or directory) in /home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/nginx.conf:20
2015/01/13 23:53:51 [error] 11159#0: *1 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/echo" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /echo HTTP/1.1", host: "localhost"
2015/01/13 23:54:01 [error] 11159#0: *4 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/13 23:54:20 [error] 11159#0: *5 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/13 23:55:01 [error] 11159#0: *8 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/13 23:56:01 [error] 11159#0: *9 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/13 23:57:01 [error] 11159#0: *10 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/13 23:58:01 [error] 11159#0: *11 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/13 23:59:01 [error] 11159#0: *15 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:00:01 [error] 11159#0: *16 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:01:01 [error] 11159#0: *17 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:02:01 [error] 11159#0: *18 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:03:01 [error] 11159#0: *19 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:04:01 [error] 11159#0: *20 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:05:01 [error] 11159#0: *21 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:05:38 [notice] 11879#0: signal process started
2015/01/14 00:05:47 [error] 11880#0: *22 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 00:05:50 [error] 11880#0: *22 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 00:06:01 [error] 11880#0: *28 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:07:01 [error] 11880#0: *29 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:08:01 [error] 11880#0: *30 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:09:01 [error] 11880#0: *31 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:10:01 [error] 11880#0: *32 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:11:01 [error] 11880#0: *33 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:12:01 [error] 11880#0: *34 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:13:01 [error] 11880#0: *35 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:14:01 [error] 11880#0: *36 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:15:01 [error] 11880#0: *37 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:16:01 [error] 11880#0: *38 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:17:01 [error] 11880#0: *39 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:18:01 [error] 11880#0: *40 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:19:01 [error] 11880#0: *41 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:20:01 [error] 11880#0: *42 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:21:01 [error] 11880#0: *43 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:22:01 [error] 11880#0: *44 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:23:01 [error] 11880#0: *45 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:24:01 [error] 11880#0: *46 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:25:01 [error] 11880#0: *47 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:26:01 [error] 11880#0: *48 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:27:01 [error] 11880#0: *49 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:28:01 [error] 11880#0: *50 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:29:02 [error] 11880#0: *51 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:30:01 [error] 11880#0: *52 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:31:01 [error] 11880#0: *53 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:32:01 [error] 11880#0: *54 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:33:01 [error] 11880#0: *55 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:34:01 [error] 11880#0: *56 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:35:01 [error] 11880#0: *57 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:36:01 [error] 11880#0: *58 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:37:01 [error] 11880#0: *59 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:38:01 [error] 11880#0: *60 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:39:01 [error] 11880#0: *61 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:40:01 [error] 11880#0: *62 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:41:01 [error] 11880#0: *63 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:42:01 [error] 11880#0: *64 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:43:01 [error] 11880#0: *65 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
